((1920, 1080), 60, 33.75)
((1680, 1050), 52, 32.8125)
((1600, 900), 50, 28.125)
((1344, 1008), 42, 31.5)
((1440, 900), 45, 28.125)
((1280, 960), 40, 30.0)
((1360, 768), 42, 24.0)
((1280, 720), 40, 22.5)
((1024, 768), 32, 24.0)
((1024, 576), 32, 18.0)
((800, 600), 25, 18.75)
((720, 576), 22, 18.0)
((720, 480), 22, 15.0)
((640, 480), 20, 15.0)
